order_id,order_date,store_id,city,country,product,category,quantity,unit_price,total_amount,payment_method,order_type,customer_age,rating
ORD-150405,2024-06-26 16:01:00,KFC-003,Karachi,Pakistan,Hot Wings (5 pcs),Chicken,3,480,1440,Credit Card,Takeaway,27.0,3.1
ORD-108231,2023-11-07 13:53:00,KFC-003,Karachi,Pakistan,Chicken Bucket (8 pcs),Buckets,4,1850,7400,Cash,delivery,23.0,1.5
ORD-175635,25-Nov-2025,KFC-003,Karachi,Pakistan,Rice Bowl,Rice,5,560,2800,Credit Card,Delivery,60.0,2.4
ORD-193776,2023-12-05 21:22:00,KFC-008,Manchester,UK,Mighty Zinger,Burgers,2,890,1780,Credit Card,TAKEAWAY,,4.9
ORD-172371,2025-10-18 10:54:00,KFC-007,London,UK,Twister,Wraps,1,520,520,CARD,delivery,42.0,3.2
ORD-145219,06-19-2025,KFC-003,Karachi,Pakistan,Chicken Bucket (8 pcs),Buckets,2,1850,3700,online ,delivery,19.0,2.7
ORD-138723,2023-03-02 11:42:00,KFC-004,Rawalpindi,Pakistan,Pepsi (Large),Beverages,2,220,440,Credit Card,Takeaway,41.0,4.8
ORD-117450,2023-10-31 12:07:00,KFC-005,Peshawar,Pakistan,Pepsi (Large),Beverages,3,220,660,cash,Dine-In,,3.4
ORD-132810,2023-06-07 19:16:00,KFC-005,Peshawar,Pakistan,Pepsi (Large),Beverages,5,220,1100,Online,delivery,21.0,4.3
ORD-146517,2024-02-29 10:41:00,KFC-002,LAHORE,Pakistan,Zinger Burger,Burgers,5,650,3250,Card,delivery,29.0,4.6
ORD-105353,2024-04-24 12:14:00,KFC-008,Manchester,UK,Coleslaw,Sides,5,180,900,Credit Card,Dine-In,49.0,2.3
ORD-193795,2025-07-03 20:06:00,KFC-003,Karachi,Pakistan,Fries (Regular),Sides,2,220,440,CARD,Takeaway,56.0,2.5
ORD-194778,2025-03-17 12:54:00,KFC-008,Manchester,UK,Boneless Bucket,Buckets,2,1650,3300,Card,delivery,21.0,4.5
ORD-199902,2024-03-10 18:09:00,KFC-001,Islamabad,Pakistan,Pepsi (Large),Beverages,3,220,660,Cash,delivery,55.0,2.5
ORD-114553,2025-04-08 17:02:00,KFC-003,,Pakistan,Chicken Bucket (8 pcs),Buckets,5,1850,9250,Card,Delivery,60.0,3.5
ORD-158920,2025-08-08 18:19:00,KFC-007,London,UK,Pepsi (Large),Beverages,3,220,660,online ,delivery,,1.2
ORD-171228,2024-01-25 22:28:00,KFC-003 ,Karachi,Pakistan,Coleslaw,Sides,1,180,180,Online,dine-in,,4.9
ORD-119021,2023-01-24 19:48:00,KFC-001,Islamabad,Pakistan,Chicky Meal,Meals,1,750,750,online ,dine-in,60.0,
ORD-155676,2025-11-14 21:27:00,KFC-001,,Pakistan,Krunch Burger,Burgers,1,380,380,online ,TAKEAWAY,,3.0
ORD-101544,2024-08-28 15:43:00,KFC-005,Peshawar,Pakistan,Fries (Regular),Sides,1,220,220,online ,Takeaway,40.0,1.7
ORD-168367,2024-05-08 15:51:00,KFC-008,Manchester,UK,Fries (Regular),Sides,4,220,880,Credit Card,Dine-In,46.0,3.0
ORD-104870,2025-12-25 22:05:00,KFC-005,Peshawar,Pakistan,Boneless Bucket,Buckets,3,1650,4950,CARD,TAKEAWAY,59.0,2.5
ORD-169552,2024/05/22 20:49,KFC-005,Peshawar,Pakistan,Chicky Meal,Meals,4,750,3000,cash,delivery,29.0,2.6
ORD-176340,2025-06-08 20:18:00,KFC-006,,UAE,Hot Wings (5 pcs),Chicken,5,480,2400,Online,dine-in,,3.1
ORD-113960,2025-06-11 17:48:00,KFC-006,Dubai,UAE,Twister,Wraps,4,520,2080,Cash,delivery,55.0,4.0
ORD-157132,25/08/2024,KFC-007,London,UK,Pepsi (Regular),Beverages,1,150,150,online ,Delivery,28.0,4.6
ORD-134830,2024/09/25 18:37,KFC-003,Karachi,Pakistan,Regular Fries,Sides,1,220,220,CARD,Dine-In,30.0,1.2
ORD-127764,2024-05-26 22:02:00,KFC-008,Manchester,UK,Zinger Burger,Burgers,2,650,1300,cash,delivery,,3.8
ORD-166243,2025-02-02 11:02:00,KFC-004,Rawalpindi ,Pakistan,Mighty Zinger,Burgers,5,890,4450,Online,delivery,29.0,3.5
ORD-164520,2025-09-19 21:12:00,KFC-003,Karachi,Pakistan,Hot Wings (5 pcs),Chicken,4,480,1920,Credit Card,TAKEAWAY,50.0,1.2
ORD-145117,2024-09-12 10:09:00,KFC-001,Islamabad,Pakistan,Coleslaw,Sides,2,180,360,Cash,Takeaway,62.0,3.7
ORD-182861,2023-11-02 16:51:00,KFC-008,Manchester,UK,Zinger Burger,Burgers,5,650,3250,cash,,,1.4
ORD-197437,2024-03-05 18:11:00,KFC-002,,Pakistan,Coleslaw,Sides,1,180,180,online ,TAKEAWAY,37.0,4.0
ORD-174952,2025-05-25 10:11:00,KFC-001,Islamabad,Pakistan,Rice Bowl,Rice,2,560,1120,Credit Card,Dine-In,40.0,4.2
ORD-135331,11/05/2023,KFC-008,Manchester,UK,Pepsi (Large),Beverages,3,220,660,CARD,dine-in,51.0,4.0
ORD-147492,27-Dec-2025,KFC-006,Dubai,UAE,Rice Bowl,Rice,5,560,2800,cash,dine-in,39.0,4.3
ORD-131324,16-Mar-2024,KFC-008,Manchester,UK,zinger burger,Burgers,2,650,1300,cash,TAKEAWAY,28.0,4.7
ORD-146737,2025-12-05 13:35:00,KFC-002,,Pakistan,Boneless Bucket,Buckets,2,1650,3300,Online,Takeaway,64.0,4.8
ORD-102156,2024-08-05 13:03:00,KFC-002,Lahore,Pakistan,Dinner Meal,Meals,3,990,2970,CARD,dine-in,29.0,
ORD-160173,2023-01-02 10:38:00,KFC-008,Manchester,UK,Twister,Wraps,1,520,520,cash,dine-in,32.0,1.2
ORD-115952,2024-02-01 17:02:00,KFC-002,Lahore,Pakistan,HotWings,Chicken,1,480,480,Cash,dine-in,55.0,
ORD-114889,2024-09-08 16:24:00,KFC-006,Dubai,UAE,Pepsi (Large),Beverages,4,220,880,Cash,delivery,17.0,1.6
ORD-170007,2025-04-09 11:57:00,KFC-008,Manchester,UK,Dinner Meal,Meals,5,990,4950,online ,TAKEAWAY,18.0,4.5
ORD-184286,2025-05-06 16:38:00,KFC-007,London,UK,Rice Bowl,Rice,2,560,1120,CARD,delivery,57.0,1.7
ORD-109685,2023-02-22 11:48:00,KFC-001,Islamabad,Pakistan,Coleslaw,Sides,1,180,180,Credit Card,TAKEAWAY,62.0,1.6
ORD-131624,2023-02-18 19:17:00,KFC-003,Karachi,Pakistan,fries (regular),Sides,2,220,440,CARD,Dine-In,54.0,2.5
ORD-181176,2025-11-07 16:49:00,KFC-006 ,Dubai,UAE,Dinner Meal,Meals,3,990,2970,Cash,Dine-In,47.0,2.6
ORD-186221,2023-04-06 18:35:00,KFC-003,Karachi,Pakistan,Mighty Zinger,Burgers,1,890,890,online ,Dine-In,24.0,2.1
ORD-176774,2023-03-13 15:13:00,KFC-005,Peshawar,Pakistan,Zinger Burger,Burgers,1,650,650,Online,dine-in,19.0,
ORD-115034,2025-08-25 13:28:00,KFC-001,islamabad,Pakistan,Boneless Bucket,Buckets,4,1650,6600,Cash,delivery,31.0,3.3
ORD-161085,2023-03-23 19:32:00,KFC-007,London,UK,Coleslaw,Sides,5,180,900,CARD,Takeaway,50.0,2.7
ORD-146422,2023-01-09 11:57:00,KFC-008,,UK,Rice Bowl,Rice,5,560,2800,Card,dine-in,37.0,4.4
ORD-176211,2023-12-06 17:12:00,KFC-004,Pindi,Pakistan,Zinger Burgr,Burgers,1,650,650,cash,dine-in,62.0,1.2
ORD-190530,2024-01-03 19:32:00,KFC-001,islamabad,Pakistan,Chicky Meal,Meals,4,750,3000,Credit Card,Delivery,17.0,3.0
ORD-128367,2023-08-08 19:24:00,KFC-001 ,Islamabad,Pakistan,Boneless Bucket,,598,1650,986700,cash,dine-in,30.0,4.4
ORD-131295,2025-05-02 18:40:00,KFC-001,Islamabad,Pakistan,Fries (Large),Sides,4,320,1280,online ,Delivery,44.0,3.1
ORD-124039,2024-09-22 18:21:00,KFC-007,London,UK,Regular Fries,Sides,2,220,440,Credit Card,delivery,15.0,3.0
ORD-137625,2024-10-11 12:08:00,KFC-008,Manchester,UK,Coleslaw,Sides,4,180,720,Card,TAKEAWAY,56.0,1.3
ORD-190141,2023-11-14 18:25:00,KFC-005 ,Peshawar,Pakistan,Hot Wings (5 pcs),Chicken,5,480,2400,Credit Card,delivery,54.0,3.3
ORD-143002,2023-02-14 14:29:00,KFC-005,Peshawar,Pakistan,Krunch Burger,Burgers,3,380,1140,Card,TAKEAWAY,24.0,3.1
ORD-190021,2025-09-22 11:02:00,KFC-004,Rawalpindi,Pakistan,Zinger Burgr,Burgers,1095,650,711750,cash,Dine-In,21.0,3.9
ORD-103924,2025-07-01 11:48:00,KFC-002,Lahore,Pakistan,Mighty Zinger,Burgers,2,890,1780,cash,TAKEAWAY,48.0,2.5
ORD-145619,2025-12-08 16:24:00,KFC-008,Manchester,UK,Krunch Burger,Burgers,5,380,1900,online ,Takeaway,36.0,2.5
ORD-172068,2023-07-19 19:48:00,KFC-004,Rawalpindi,Pakistan,Pepsi (Regular),Beverages,4,150,600,Credit Card,Takeaway,26.0,4.5
ORD-186586,2024-05-23 10:57:00,KFC-007,London,UK,Rice Bowl,Rice,3,560,1680,,TAKEAWAY,47.0,1.2
ORD-172892,2023-01-25 10:30:00,KFC-005,Peshawar,Pakistan,Mighty Zinger,Burgers,1,890,890,Credit Card,Dine-In,36.0,3.4
ORD-162027,2024-07-02 11:22:00,KFC-003,Karachi ,Pakistan,Chicken Bucket (8 pcs),Buckets,1,1850,1850,cash,TAKEAWAY,19.0,2.2
ORD-104761,2023-06-02 18:12:00,KFC-007,London,UK,Fries (Large),Sides,2,320,640,online ,dine-in,20.0,4.0
ORD-128955,2025-06-21 19:25:00,KFC-005,Peshawar,Pakistan,Dinner Meal,Meals,4,990,3960,cash,delivery,43.0,
ORD-175414,2025-08-09 13:10:00,KFC-004,Rawalpindi,Pakistan,Dinner Meal,Meals,5,990,4950,,Delivery,35.0,3.0
ORD-112749,2024-09-06 20:20:00,KFC-005,Peshawar,Pakistan,Fries (Regular),Sides,3,220,660,cash,delivery,34.0,3.6
ORD-169936,2025-04-04 20:23:00,KFC-006 ,Dubai,UAE,Rice Bowl,Rice,3,560,1680,Credit Card,dine-in,30.0,4.2
ORD-107736,2025-11-26 10:31:00,KFC-008,Manchester,UK,Boneless Bucket,Buckets,2,1650,3300,cash,delivery,34.0,2.3
ORD-117509,2024-09-02 19:35:00,KFC-005,Peshawar,Pakistan,Dinner Meal,Meals,1,990,990,Credit Card,Takeaway,26.0,4.9
ORD-163007,2023-09-28 14:00:00,KFC-001,Islamabad,Pakistan,Fries (Large),Sides,4,320,1280,Cash,TAKEAWAY,45.0,2.7
ORD-164550,2023-10-04 13:00:00,KFC-005,Peshawar,Pakistan,Fries (Large),Sides,4,320,1280,Cash,dine-in,29.0,2.1
ORD-197642,2024-11-24 16:17:00,KFC-007,London,UK,Hot Wings (5 pcs),Chicken,4,480,1920,Card,Delivery,58.0,4.2
ORD-168307,2023-03-15 18:21:00,KFC-002,Lahore,Pakistan,Fries (Regular),Sides,4,220,880,online ,Delivery,51.0,1.4
ORD-156028,2024-12-03 14:22:00,KFC-008,Manchester,UK,Coleslaw,Sides,3,180,540,Online,TAKEAWAY,24.0,1.6
ORD-123111,2025/10/09 22:46,KFC-002,Lahore,Pakistan,Mighty Zinger,Burgers,4,890,3560,Credit Card,Takeaway,44.0,2.4
ORD-159373,2025-08-21 19:15:00,KFC-004,Rawalpindi ,Pakistan,Hot Wings (5 pcs),,3,480,1440,online ,Dine-In,60.0,1.2
ORD-179531,2023-01-29 20:47:00,KFC-008,Manchester,UK,Chicken Bucket (8 pcs),Buckets,2,1850,3700,Online,delivery,59.0,2.0
ORD-111530,2023-10-16 18:27:00,KFC-004 ,Rawalpindi,Pakistan,Boneless Bucket,Buckets,5,1650,8250,CARD,Delivery,46.0,4.9
ORD-199386,2023-04-02 21:42:00,KFC-008,Manchester,UK,Chicken Bucket (8 pcs),Buckets,3,1850,5550,Credit Card,Takeaway,49.0,2.5
ORD-121539,2024-05-27 22:15:00,KFC-002,Lahore,Pakistan,Hot Wings,Chicken,2,480,960,Cash,delivery,29.0,2.6
ORD-161461,2023-07-05 15:20:00,KFC-006,Dubai,UAE,Chicky Meal,Meals,5,750,3750,online ,Takeaway,24.0,3.5
ORD-178433,2024-06-11 12:56:00,KFC-007,London,UK,Fries (Regular),Sides,3,220,660,Card,Delivery,36.0,2.2
ORD-189057,2023-05-16 10:21:00,KFC-006,Dubai,UAE,Pepsi (Large),Beverages,2,220,440,online ,delivery,63.0,1.3
ORD-106781,2025-11-04 15:49:00,KFC-008,Manchester,UK,Fries (Large),Sides,4,320,1280,CARD,Takeaway,49.0,4.8
ORD-179138,2024-08-07 10:46:00,KFC-006,Dubai,UAE,Mighty Zinger,Burgers,1,890,890,CARD,delivery,15.0,2.6
ORD-127589,2025-01-21 20:29:00,KFC-008,Manchester,UK,Fries (Large),Sides,1,320,320,Credit Card,Takeaway,64.0,6.0
ORD-161326,2025-03-20 10:12:00,KFC-005,Peshawar,Pakistan,Krunch Burger,Burgers,5,380,1900,cash,Dine-In,45.0,2.3
ORD-126749,2025-08-10 11:46:00,KFC-002,Lahore,Pakistan,HotWings,Chicken,5,480,2400,cash,Delivery,17.0,5.0
ORD-133050,2023-08-19 18:46:00,KFC-007,London,UK,Mighty Zinger,Burgers,3,890,2670,Credit Card,Delivery,,4.3
ORD-139771,2023-07-14 17:29:00,KFC-007,London,UK,Chicken Bucket (8 pcs),Buckets,3,1850,5550,Credit Card,delivery,40.0,3.9
ORD-171836,2023-12-30 10:15:00,KFC-005,Peshawar,Pakistan,Chicky Meal,Meals,1,750,750,CARD,TAKEAWAY,21.0,3.1
ORD-130899,2024-01-11 18:58:00,KFC-007,London,UK,Zinger Burger,Burgers,2,650,1300,Cash,TAKEAWAY,50.0,4.6
ORD-164931,2023-03-05 20:06:00,KFC-002,LAHORE,Pakistan,Dinner Meal,Meals,2,990,1980,Card,TAKEAWAY,59.0,1.9
ORD-137282,2024-08-10 17:01:00,KFC-002,,Pakistan,Zinger Burger,Burgers,5,650,3250,Cash,Delivery,43.0,1.0
ORD-126593,2025-04-20 18:43:00,KFC-001,Islambad,Pakistan,Chicken Bucket (8 pcs),Buckets,5,1850,9250,Cash,dine-in,29.0,2.5
ORD-118745,2025-09-22 16:10:00,KFC-004,Rawalpindi,Pakistan,Twister,Wraps,5,520,2600,Cash,Dine-In,50.0,4.5
ORD-148997,2023-08-19 19:21:00,KFC-007,London,UK,Fries (Large),Sides,5,320,1600,cash,Takeaway,28.0,2.7
ORD-112294,2023-01-13 16:07:00,KFC-004,Rawalpindi,Pakistan,Mighty Zinger,Burgers,2,890,1780,online ,,59.0,4.8
ORD-151971,2024-01-04 13:06:00,KFC-002,Lahore,Pakistan,Zinger Burger,Burgers,1,650,650,CARD,delivery,44.0,4.8
ORD-135266,2024-11-27 21:15:00,KFC-007,London,UK,Krunch Burger,Burgers,3,380,1140,Credit Card,delivery,32.0,3.9
ORD-185258,2024-01-01 15:17:00,KFC-001,Islamabad,Pakistan,Pepsi (Regular),Beverages,3,150,450,Online,Takeaway,42.0,2.1
ORD-171784,2024-11-07 17:37:00,KFC-003,Karachi,Pakistan,Chicken Bucket (8 pcs),Buckets,5,1850,9250,Card,Dine-In,20.0,2.6
ORD-130239,2023-07-12 14:44:00,KFC-002,lahore,Pakistan,ZINGER BURGER,Burgers,5,650,3250,cash,delivery,33.0,2.3
ORD-144553,2024-05-11 18:18:00,KFC-003,Karachi,Pakistan,Fries (Regular),Sides,4,220,880,Credit Card,delivery,54.0,1.3
ORD-147332,2024-08-04 11:52:00,KFC-006,Dubai,UAE,Chicken Bucket (8 pcs),Buckets,2,1850,3700,Cash,TAKEAWAY,19.0,3.8
ORD-120136,02-Dec-2025,KFC-003,Karachi,Pakistan,Pepsi (Regular),Beverages,5,150,750,Card,delivery,26.0,2.9
ORD-126381,2024-05-19 20:54:00,KFC-002,Lahore,Pakistan,Boneless Bucket,Buckets,5,1650,8250,Online,delivery,43.0,
ORD-135745,2024-07-22 17:13:00,KFC-001,Islamabad ,Pakistan,Pepsi (Regular),Beverages,3,150,450,cash,dine-in,26.0,2.1
ORD-150333,2025-04-12 11:32:00,KFC-005,Peshawar,Pakistan,Pepsi (Large),Beverages,5,220,1100,Card,TAKEAWAY,33.0,1.3
ORD-157595,2025-02-05 17:27:00,KFC-004,,Pakistan,Boneless Bucket,Buckets,3,1650,4950,online ,,48.0,4.8
ORD-124800,2024-02-21 13:58:00,KFC-001,Islamabad,Pakistan,Krunch Burger,Burgers,1,380,380,Credit Card,delivery,38.0,1.9
ORD-109744,2024-06-19 17:50:00,KFC-002,Lahore,Pakistan,Chicken Bucket (8 pcs),Buckets,2,1850,3700,Card,Delivery,17.0,1.4
ORD-195519,29/03/2025,KFC-008,Manchester,UK,Krunch Burger,Burgers,5,380,1900,cash,Dine-In,33.0,1.6
ORD-127168,2024-12-29 19:10:00,KFC-004,Rawalpindi,Pakistan,Dinner Meal,Meals,2,990,1980,online ,dine-in,31.0,4.2
ORD-101195,2024-01-16 16:29:00,KFC-003,Karachi,Pakistan,Fries (Regular),Sides,1,220,220,Credit Card,Dine-In,60.0,4.2
ORD-181568,2023-07-08 10:38:00,KFC-004,Rawalpindi,Pakistan,Coleslaw,Sides,4,180,720,,Delivery,52.0,5.0
ORD-196316,30-Dec-2025,KFC-006,Dubai,UAE,Chicky Meal,Meals,1,750,750,online ,Dine-In,51.0,3.5
ORD-199149,2024-10-17 16:42:00,KFC-002,Lahore,Pakistan,Krunch Burger,Burgers,3,380,1140,cash,Takeaway,23.0,1.7
ORD-150625,2025-01-24 12:04:00,KFC-002,Lahore,Pakistan,Chicken Bucket (8 pcs),Buckets,4,1850,7400,Credit Card,Delivery,17.0,1.3
ORD-171111,2023-05-14 14:26:00,KFC-001,Islamabad,Pakistan,Fries (Large),Sides,3,320,960,Online,delivery,30.0,2.1
ORD-188900,2023-11-13 13:28:00,KFC-003,Karachi,Pakistan,Zinger Burgr,Burgers,5,650,3250,cash,Delivery,51.0,
ORD-154048,2023-07-25 10:14:00,KFC-005,Peshawar,Pakistan,Mighty Zinger,Burgers,4,890,3560,Credit Card,delivery,44.0,
ORD-151462,2025-04-14 11:30:00,KFC-002 ,LAHORE,Pakistan,Mighty Zinger,Burgers,1,890,890,CARD,delivery,17.0,2.5
ORD-189999,2024-11-22 10:43:00,KFC-008,Manchester,UK,Chicky Meal,Meals,5,750,3750,,Takeaway,61.0,2.0
ORD-156060,2024-02-11 13:46:00,KFC-001,Islamabad ,Pakistan,Coleslaw,Sides,3,180,540,online ,Delivery,15.0,
ORD-109054,2025-02-27 20:17:00,KFC-002,lahore,Pakistan,Twister,Wraps,1,520,520,,delivery,38.0,3.2
ORD-191824,2023-11-14 10:49:00,KFC-001,islamabad,Pakistan,Dinner Meal,Meals,2,990,1980,Credit Card,Delivery,62.0,3.4
ORD-182627,19-Mar-2025,KFC-008,Manchester,UK,Pepsi (Large),Beverages,3,220,660,Cash,TAKEAWAY,25.0,2.7
ORD-101217,2024-09-26 22:43:00,KFC-005,Peshawar,Pakistan,Fries (Regular),Sides,5,220,1100,online ,Takeaway,59.0,2.1
ORD-183601,2025/09/26 14:00,KFC-008,Manchester,UK,ZINGER BURGER,Burgers,3,650,1950,CARD,TAKEAWAY,25.0,1.6
ORD-106594,2023-08-18 20:34:00,KFC-004 ,Rawalpindi,Pakistan,Zinger Burger,Burgers,2,650,1300,Card,TAKEAWAY,40.0,2.4
ORD-146768,2025-07-22 17:48:00,KFC-001,Islamabad,Pakistan,Twister,Wraps,2,520,1040,online ,Delivery,45.0,4.6
ORD-187127,2023-06-27 12:38:00,KFC-007,London,UK,Coleslaw,Sides,2,180,360,Credit Card,Takeaway,50.0,3.4
ORD-134386,10-31-2024,KFC-002,Lahore,Pakistan,Dinner Meal,Meals,1,990,990,Card,Takeaway,43.0,4.5
ORD-182024,2023-08-28 10:49:00,KFC-008,,UK,Pepsi (Large),Beverages,3,220,660,online ,Delivery,16.0,4.9
ORD-126591,2023/02/21 20:36,KFC-007,London,UK,Rice Bowl,Rice,2,560,1120,Cash,TAKEAWAY,50.0,2.1
ORD-172219,2025-11-14 21:43:00,KFC-006,Dubai,UAE,Chicky Meal,Meals,4,750,3000,cash,delivery,51.0,3.5
ORD-143873,2023-05-12 19:12:00,KFC-005 ,Peshawar,Pakistan,Fries (Regular),Sides,4,220,880,CARD,delivery,31.0,4.6
ORD-178449,2024-08-18 16:12:00,KFC-008,Manchester,UK,Fries (Large),Sides,1,320,320,Cash,Dine-In,37.0,3.4
ORD-103017,2024-05-06 14:56:00,KFC-003,Karachi,Pakistan,Chicken Bucket (8 pcs),Buckets,5,1850,9250,Credit Card,Takeaway,40.0,4.2
ORD-131992,2023-01-26 13:02:00,KFC-006,,UAE,Coleslaw,,2,180,360,Card,Dine-In,56.0,3.0
ORD-149222,2024-05-27 21:36:00,KFC-007,London,UK,Boneless Bucket,Buckets,1,1650,1650,Online,TAKEAWAY,63.0,1.4
ORD-147455,2024-05-17 21:22:00,KFC-006,Dubai,UAE,Coleslaw,Sides,1,180,180,,Dine-In,33.0,4.4
ORD-104054,2025-07-04 14:03:00,KFC-003,Karrachi,Pakistan,Rice Bowl,Rice,5,560,2800,CARD,Dine-In,22.0,3.9
ORD-164199,2023-02-01 22:52:00,KFC-004,Rawalpindi,Pakistan,Zinger Burger,Burgers,2,650,1300,online ,Takeaway,61.0,2.3
ORD-155222,2024-10-26 16:12:00,KFC-002,Lahore ,Pakistan,Krunch Burger,Burgers,4,380,1520,Card,TAKEAWAY,53.0,
ORD-156614,2024-11-30 15:46:00,KFC-002 ,Lahore,Pakistan,Fries Regular,Sides,527,220,115940,Cash,dine-in,20.0,2.9
ORD-191735,2024-02-14 11:47:00,KFC-005,Peshawar,Pakistan,Zinger Burger,,5,650,3250,online ,delivery,48.0,2.8
ORD-145305,2024-12-05 12:28:00,KFC-006,Dubai,UAE,Dinner Meal,Meals,5,990,4950,Credit Card,TAKEAWAY,53.0,1.0
ORD-172024,2025-12-10 20:16:00,KFC-003,karachi,Pakistan,Regular Fries,Sides,3,220,660,Cash,Takeaway,59.0,1.8
ORD-159016,2023-01-20 12:05:00,KFC-002,Lahore,Pakistan,Dinner Meal,Meals,1,990,990,cash,Delivery,52.0,1.4
ORD-184498,2024-08-31 22:48:00,KFC-007,London,UK,Fries (Regular),Sides,5,220,1100,online ,Delivery,43.0,3.4
ORD-155381,2025-05-14 19:10:00,KFC-008,Manchester,UK,Dinner Meal,Meals,1,990,990,Cash,Takeaway,64.0,
ORD-161622,2024-08-24 14:12:00,KFC-008,Manchester,UK,HotWings,Chicken,5,480,2400,Credit Card,TAKEAWAY,60.0,2.3
ORD-133810,2025-09-29 16:41:00,KFC-002 ,Lahore,Pakistan,Mighty Zinger,Burgers,2,890,1780,Card,Delivery,57.0,4.9
ORD-118389,2024-01-15 14:09:00,KFC-002,,Pakistan,Boneless Bucket,Buckets,1,1650,1650,online ,delivery,20.0,3.8
ORD-173565,16/04/2025,KFC-007,London,UK,Chicken Bucket (8 pcs),Buckets,1,1850,1850,cash,Takeaway,21.0,3.9
ORD-108879,2024-03-12 19:21:00,KFC-003,Karachi,Pakistan,Dinner Meal,Meals,2,990,1980,Online,Delivery,49.0,2.4
ORD-142152,2025-04-25 10:16:00,KFC-001,Islamabad,Pakistan,Twister,Wraps,3,520,1560,online ,TAKEAWAY,29.0,1.2
ORD-167587,2024-12-16 13:32:00,KFC-007,London,UK,Rice Bowl,Rice,5,560,2800,cash,Dine-In,47.0,1.9
ORD-165718,2025-12-08 10:31:00,KFC-006,Dubai,UAE,Chicky Meal,Meals,1,750,750,Cash,Dine-In,50.0,1.7
ORD-176491,2023-09-02 12:50:00,KFC-003,Karachi,Pakistan,Dinner Meal,Meals,3,990,2970,Cash,,54.0,3.3
ORD-182267,2023-06-13 11:25:00,KFC-003 ,Karachi,Pakistan,HotWings,Chicken,4,480,1920,CARD,delivery,49.0,4.4
ORD-176753,2023-03-25 22:16:00,KFC-005,Peshawar,Pakistan,Dinner Meal,Meals,2,990,1980,CARD,TAKEAWAY,29.0,1.1
ORD-112548,2024-10-27 10:01:00,KFC-001,Islamabad ,Pakistan,Boneless Bucket,Buckets,5,1650,8250,,Delivery,21.0,2.9
ORD-127647,2024-10-14 11:48:00,KFC-001,Islambad,Pakistan,Krunch Burger,Burgers,5,380,1900,Card,delivery,63.0,1.9
ORD-166299,2025-08-07 15:01:00,KFC-003,Karachi,Pakistan,Dinner Meal,Meals,5,990,4950,cash,dine-in,60.0,3.9
ORD-110166,2025-09-19 20:28:00,KFC-008,Manchester,UK,Rice Bowl,Rice,2,560,1120,Cash,TAKEAWAY,21.0,2.3
ORD-123100,2023-07-05 12:21:00,KFC-008,Manchester,UK,Hot Wings (5 pcs),Chicken,3,480,1440,Credit Card,delivery,19.0,2.5
ORD-142359,2023-06-07 18:31:00,KFC-006,Dubai,UAE,Zinger Burger,Burgers,1,650,650,online ,TAKEAWAY,31.0,3.9
ORD-149504,2025-06-25 20:19:00,KFC-008,Manchester,UK,Dinner Meal,Meals,5,990,4950,cash,Takeaway,63.0,1.4
